Compound Name,IUPAC,Inchi,SMILES,CAS Number,DTXSID,Project ID (RISK-HUNT3R),Project ID (ONTOX),Project ID (PrecisionTox),Used in RISK-HUNT3R,Used in ONTOX,Used in PrecisionTox,Liver case-study (ONTOX),Kidney case-study (ONTOX),Developping Brain case-study (ONTOX),Included Cholestasis selection (Sept2022ONTOX),Included Steatosis selection (Sept2022ONTOX),Included Crystalopathy selection (Sept2022ONTOX),Included Tubular Necrosis selection (Sept2022ONTOX),Included CFD selection (Sept2022ONTOX),Included NTC selection (Sept2022ONTOX),Compound updated
Domoic acid,"(2S,3S,4S)-4-[(2Z,4E,6R)-6-carboxyhepta-2,4-dien-2-yl]-3-(carboxymethyl)pyrrolidine-2-carboxylic acid","InChI=1S/C15H21NO6/c1-8(4-3-5-9(2)14(19)20)11-7-16-13(15(21)22)10(11)6-12(17)18/h3-5,9-11,13,16H,6-7H2,1-2H3,(H,17,18)(H,19,20)(H,21,22)",CC(=CC=CC(C)C(=O)O)C1CNC(C(=O)O)C1CC(=O)O,14277-97-5,DTXSID20274180,,CMS-32259,,FALSE,TRUE,FALSE,,,Cognitive Function Defects,no,no,no,no,YES,no,Jun/22
Doxorubicin,"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione","InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3/t10-,13-,15-,17-,22+,27-/m0/s1",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,23214-92-8,DTXSID8021480,,CMS-1503,,FALSE,TRUE,FALSE,,,,,no,no,no,no,no,Jan/22
Doxorubicin Hydrochloride,"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione;hydrochloride","InChI=1S/C27H29NO11.ClH/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34;/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3;1H/t10-,13-,15-,17-,22+,27-;/m0./s1",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,25316-40-9,DTXSID3030636,,CMS-6571,,FALSE,TRUE,FALSE,,,Neural Tube Defects,no,no,no,no,no,no,Jan/22
Doxycycline,"(4S,4aR,5S,5aR,6R,12aS)-4-(Dimethylamino)-3,5,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide","InChI=1S/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,14-15,17,25-27,30,32H,1-3H3,(H2,23,31)/t7-,10+,14+,15-,17-,22-/m0/s1",C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,564-25-0,DTXSID0037653,RH0106,CMS-7713,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Doxylamine succinate,"butanedioic acid;N,N-dimethyl-2-(1-phenyl-1-pyridin-2-ylethoxy)ethanamine","InChI=1S/C17H22N2O/c1-17(20-14-13-19(2)3,15-9-5-4-6-10-15)16-11-7-8-12-18-16/h4-12H,13-14H2,1-3H3",CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,0562-10-7,DTXSID7020552,,CMS-546,,FALSE,TRUE,FALSE,,,Developing brain (possiblyNeg),no,no,no,no,no,no,Sep/22
Drospirenone,"(1R,2R,4R,10R,11S,14S,15S,16S,18S,19S)-10,14-dimethylspiro[hexacyclo[9.8.0.02,4.05,10.014,19.016,18]nonadec-5-ene-15,5'-oxolane]-2',7-dione","InChI=1S/C24H30O3/c1-22-6-3-12(25)9-17(22)13-10-14(13)20-16(22)4-7-23(2)21(20)15-11-18(15)24(23)8-5-19(26)27-24/h9,13-16,18,20-21H,3-8,10-11H2,1-2H3/t13-,14+,15-,16+,18+,20-,21+,22-,23+,24+/m1/s1",C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7)C,67392-87-4,DTXSID7046465,RH0114,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Elacridar,"N-[4-[2-(6,7-dimethoxy-3,4-dihydro-1H-isoquinolin-2-yl)ethyl]phenyl]-5-methoxy-9-oxo-10H-acridine-4-carboxamide","InChI=1S/C34H33N3O5/c1-40-28-9-5-7-26-32(28)36-31-25(33(26)38)6-4-8-27(31)34(39)35-24-12-10-21(11-13-24)14-16-37-17-15-22-18-29(41-2)30(42-3)19-23(22)20-37/h4-13,18-19H,14-17,20H2,1-3H3,(H,35,39)(H,36,38)",COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC,143664-11-3,DTXSID90162489,RH0092,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Eletriptan,5-[2-(benzenesulfonyl)ethyl]-3-[[(2R)-1-methylpyrrolidin-2-yl]methyl]-1H-indole,"InChI=1S/C22H26N2O2S/c1-24-12-5-6-19(24)15-18-16-23-22-10-9-17(14-21(18)22)11-13-27(25,26)20-7-3-2-4-8-20/h2-4,7-10,14,16,19,23H,5-6,11-13,15H2,1H3/t19-/m1/s1",CN1CCC[C@@H]1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,143322-58-1,DTXSID9046861,RH0143,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Emodin,"1,3,8-trihydroxy-6-methylanthracene-9,10-dione","InChI=1S/C15H10O5/c1-6-2-8-12(10(17)3-6)15(20)13-9(14(8)19)4-7(16)5-11(13)18/h2-5,16-18H,1H3",Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,518-82-1,DTXSID5025231,,CMS-4255,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
Enalapril,(2S)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]pyrrolidine-2-carboxylic acid,"InChI=1S/C20H28N2O5/c1-3-27-20(26)16(12-11-15-8-5-4-6-9-15)21-14(2)18(23)22-13-7-10-17(22)19(24)25/h4-6,8-9,14,16-17,21H,3,7,10-13H2,1-2H3,(H,24,25)/t14-,16-,17-/m0/s1",CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,75847-73-3,DTXSID5022982,,CMS-2807,,FALSE,TRUE,FALSE,,not specified,,no,no,no,no,no,no,Jan/22
Entinostat,pyridin-3-ylmethyl N-[[4-[(2-aminophenyl)carbamoyl]phenyl]methyl]carbamate,"InChI=1S/C21H20N4O3/c22-18-5-1-2-6-19(18)25-20(26)17-9-7-15(8-10-17)13-24-21(27)28-14-16-4-3-11-23-12-16/h1-12H,13-14,22H2,(H,24,27)(H,25,26)",C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,209783-80-2,DTXSID0041068,,CMS-8427,,FALSE,TRUE,FALSE,,,Neural Tube Defects,no,no,no,no,no,no,Jun/22
epiconazole,"1-[[3-(2-chlorophenyl)-2-(4-fluorophenyl)oxiran-2-yl]methyl]-1,2,4-triazole","InChI=1S/C17H13ClFN3O/c18-15-4-2-1-3-14(15)16-17(23-16,9-22-11-20-10-21-22)12-5-7-13(19)8-6-12/h1-8,10-11,16H,9H2",Fc1ccc(C2(Cn3cncn3)OC2c2ccccc2Cl)cc1,135319-73-2,DTXSID901034223,RH0074,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Eplerenone,"methyl (1R,2S,9R,10R,11S,14R,15S,17R)-2,15-dimethyl-5,5'-dioxospiro[18-oxapentacyclo[8.8.0.01,17.02,7.011,15]octadec-6-ene-14,2'-oxolane]-9-carboxylate","InChI=1S/C24H30O6/c1-21-7-4-14(25)10-13(21)11-15(20(27)28-3)19-16-5-8-23(9-6-18(26)30-23)22(16,2)12-17-24(19,21)29-17/h10,15-17,19H,4-9,11-12H2,1-3H3/t15-,16+,17-,19+,21+,22+,23-,24-/m1/s1",C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC,107724-20-9,DTXSID2046094,RH0125,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Epoxiconazole,"1-[[(2S,3R)-3-(2-chlorophenyl)-2-(4-fluorophenyl)oxiran-2-yl]methyl]-1,2,4-triazole","InChI=1S/C17H13ClFN3O/c18-15-4-2-1-3-14(15)16-17(23-16,9-22-11-20-10-21-22)12-5-7-13(19)8-6-12/h1-8,10-11,16H,9H2/t16-,17+/m0/s1",C1=CC=C(C(=C1)[C@H]2[C@@](O2)(CN3C=NC=N3)C4=CC=C(C=C4)F)Cl,133855-98-8,DTXSID1040372,,,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
Eptifibatide,"2-[(3S,6S,12S,20R,23S)-20-carbamoyl-12-[4-(diaminomethylideneamino)butyl]-3-(1H-indol-3-ylmethyl)-2,5,8,11,14,22-hexaoxo-17,18-dithia-1,4,7,10,13,21-hexazabicyclo[21.3.0]hexacosan-6-yl]acetic acid","InChI=1S/C35H49N11O9S2/c36-30(51)25-18-57-56-13-10-27(47)42-22(8-3-4-11-39-35(37)38)31(52)41-17-28(48)43-23(15-29(49)50)32(53)44-24(14-19-16-40-21-7-2-1-6-20(19)21)34(55)46-12-5-9-26(46)33(54)45-25/h1-2,6-7,16,22-26,40H,3-5,8-15,17-18H2,(H2,36,51)(H,41,52)(H,42,47)(H,43,48)(H,44,53)(H,45,54)(H,49,50)(H4,37,38,39)/t22-,23-,24-,25-,26-/m0/s1",C1C[C@H]2C(=O)N[C@@H](CSSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC3=CNC4=CC=CC=C43)CC(=O)O)CCCCN=C(N)N)C(=O)N,188627-80-7,DTXSID7046673,RH0167,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
ERGOTAMINE,"(6aR,9R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide","InChI=1S/C33H35N5O5/c1-32(35-29(39)21-15-23-22-10-6-11-24-28(22)20(17-34-24)16-25(23)36(2)18-21)31(41)38-26(14-19-8-4-3-5-9-19)30(40)37-13-7-12-27(37)33(38,42)43-32/h3-6,8-11,15,17,21,25-27,34,42H,7,12-14,16,18H2,1-2H3,(H,35,39)/t21-,25-,26+,27+,32-,33+/m1/s1",C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,113-15-5,DTXSID9043774,RH0140,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Erythromycin estolate,"(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-7,12,13-trihydroxy-4-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione","InChI=1S/C37H67NO13/c1-14-25-37(10,45)30(41)20(4)27(39)18(2)16-35(8,44)32(51-34-28(40)24(38(11)12)15-19(3)47-34)21(5)29(22(6)33(43)49-25)50-26-17-36(9,46-13)31(42)23(7)48-26/h18-26,28-32,34,40-42,44-45H,14-17H2,1-13H3",CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,0114-07-08,DTXSID4022991,RH0025,CMS-2816,,TRUE,TRUE,FALSE,Cholestasis,,,YES,no,no,no,no,no,Jun/22
Ethanol,ethanol,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",CCO,64-17-5,DTXSID9020584,,CMS-595,,FALSE,TRUE,FALSE,,,Cognitive Function Defects / Neural Tube Defects,no,no,no,no,YES,no,Sep/22
Ethoprophos,1-[ethoxy(propylsulfanyl)phosphoryl]sulfanylpropane,"InChI=1S/C8H19O2PS2/c1-4-7-12-11(9,10-6-3)13-8-5-2/h4-8H2,1-3H3",CCCSP(=O)(OCC)SCCC,13194-48-4,DTXSID4032611,,,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
ethoxy-(4-nitrophenoxy)-phenyl-sulfanylidene-lambda5-phosphane,ethoxy-(4-nitrophenoxy)-phenyl-sulfanylidene-lambda5-phosphane,"InChI=1S/C14H14NO4PS/c1-2-18-20(21,14-6-4-3-5-7-14)19-13-10-8-12(9-11-13)15(16)17/h3-11H,2H2,1H3",CCO[P](=S)(Oc1ccc(cc1)[N+]([O-])=O)c2ccccc2,2104-64-5,DTXSID7022174,,CMS-1468,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
"ethyl (2R,4S)-4-[[3,5-bis(trifluoromethyl)phenyl]methyl-methoxycarbonylamino]-2-ethyl-6-(trifluoromethyl)-3,4-dihydro-2H-quinoline-1-carboxylate","ethyl (2R,4S)-4-[[3,5-bis(trifluoromethyl)phenyl]methyl-methoxycarbonylamino]-2-ethyl-6-(trifluoromethyl)-3,4-dihydro-2H-quinoline-1-carboxylate","InChI=1S/C26H25F9N2O4/c1-4-18-12-21(19-11-15(24(27,28)29)6-7-20(19)37(18)23(39)41-5-2)36(22(38)40-3)13-14-8-16(25(30,31)32)10-17(9-14)26(33,34)35/h6-11,18,21H,4-5,12-13H2,1-3H3/t18-,21+/m1/s1",CC[C@@H]1C[C@@H](C2=C(N1C(=O)OCC)C=CC(=C2)C(F)(F)F)N(CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C(=O)OC,262352-17-0,DTXSID20180873,RH0277,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-ylidene)piperidine-1-carboxylate","ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-ylidene)piperidine-1-carboxylate","InChI=1S/C22H23ClN2O2/c1-2-27-22(26)25-12-9-15(10-13-25)20-19-8-7-18(23)14-17(19)6-5-16-4-3-11-24-21(16)20/h3-4,7-8,11,14H,2,5-6,9-10,12-13H2,1H3",CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,79794-75-5,DTXSID2023224,RH0350,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"ethyl 4-(3-hydroxyphenyl)-6-methyl-2-sulfanylidene-3,4-dihydro-1H-pyrimidine-5-carboxylate","ethyl 4-(3-hydroxyphenyl)-6-methyl-2-sulfanylidene-3,4-dihydro-1H-pyrimidine-5-carboxylate","InChI=1S/C14H16N2O3S/c1-3-19-13(18)11-8(2)15-14(20)16-12(11)9-5-4-6-10(17)7-9/h4-7,12,17H,3H2,1-2H3,(H2,15,16,20)",CCOC(=O)C1=C(NC(=S)NC1C2=CC(=CC=C2)O)C,254753-54-3,DTXSID10388124,RH0158,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Ethylene glycol,"ethane-1,2-diol","InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",C(CO)O,107-21-1,DTXSID4027862,RH0087,CMS-610,,TRUE,TRUE,FALSE,,Crystalopathy,,no,no,YES,no,no,no,Jan/22
Ethylhexyl diphenyl phosphate (EHDPP),2-ethylhexyl diphenyl phosphate,"InChI=1S/C20H27O4P/c1-3-5-12-18(4-2)17-22-25(21,23-19-13-8-6-9-14-19)24-20-15-10-7-11-16-20/h6-11,13-16,18H,3-5,12,17H2,1-2H3",CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2,1241-94-7,DTXSID1025300,,CMS-4292,,FALSE,TRUE,FALSE,Steatosis,,,no,YES,no,no,no,no,Jan/22
Eticlopride,5-chloro-3-ethyl-N-[[(2S)-1-ethylpyrrolidin-2-yl]methyl]-2-hydroxy-6-methoxybenzamide,"InChI=1S/C17H25ClN2O3/c1-4-11-9-13(18)16(23-3)14(15(11)21)17(22)19-10-12-7-6-8-20(12)5-2/h9,12,21H,4-8,10H2,1-3H3,(H,19,22)/t12-/m0/s1",CCC1=CC(=C(C(=C1O)C(=O)NC[C@@H]2CCCN2CC)OC)Cl,84226-12-0,DTXSID9048435,RH0401,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Etomoxir Sodium,sodium;(2R)-2-[6-(4-chlorophenoxy)hexyl]oxirane-2-carboxylate,"InChI=1S/C15H19ClO4.Na/c16-12-5-7-13(8-6-12)19-10-4-2-1-3-9-15(11-20-15)14(17)18;/h5-8H,1-4,9-11H2,(H,17,18);/q;+1/p-1/t15-;/m1./s1",[Na+].[O-]C(=O)[C@@]1(CCCCCCOC2=CC=C(Cl)C=C2)CO1,828934-41-4,DTXSID40720952,,,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
Famotidine,"3-[[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]methylsulfanyl]-N'-sulfamoylpropanimidamide","InChI=1S/C8H15N7O2S3/c9-6(15-20(12,16)17)1-2-18-3-5-4-19-8(13-5)14-7(10)11/h4H,1-3H2,(H2,9,15)(H2,12,16,17)(H4,10,11,13,14)",NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,76824-35-6,DTXSID5023039,RH0347,CMS-2855,,TRUE,TRUE,FALSE,,,Developing brain (possiblyNeg),no,no,no,no,no,no,Sep/22
Fedratinib,N-tert-butyl-3-[[5-methyl-2-[4-(2-pyrrolidin-1-ylethoxy)anilino]pyrimidin-4-yl]amino]benzenesulfonamide,"InChI=1S/C27H36N6O3S/c1-20-19-28-26(30-21-10-12-23(13-11-21)36-17-16-33-14-5-6-15-33)31-25(20)29-22-8-7-9-24(18-22)37(34,35)32-27(2,3)4/h7-13,18-19,32H,5-6,14-17H2,1-4H3,(H2,28,29,30,31)",CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4,936091-26-8,DTXSID90239483,RH0165,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Felbamate,(3-carbamoyloxy-2-phenylpropyl) carbamate,"InChI=1S/C11H14N2O4/c12-10(14)16-6-9(7-17-11(13)15)8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H2,12,14)(H2,13,15)",NC(=O)OCC(COC(N)=O)C1=CC=CC=C1,25451-15-4,DTXSID9023041,RH0360,CMS-2857,,TRUE,TRUE,FALSE,Cholestasis (neg),,,YES,no,no,no,no,no,Jun/22
fenbuconazole,"4-(4-chlorophenyl)-2-phenyl-2-(1,2,4-triazol-1-ylmethyl)butanenitrile","InChI=1S/C19H17ClN4/c20-18-8-6-16(7-9-18)10-11-19(12-21,13-24-15-22-14-23-24)17-4-2-1-3-5-17/h1-9,14-15H,10-11,13H2",N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,114369-43-6,DTXSID8032548,RH0077,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Fenofibric acid,2-[4-(4-chlorobenzoyl)phenoxy]-2-methylpropanoic acid,"InChI=1S/C17H15ClO4/c1-17(2,16(20)21)22-14-9-5-12(6-10-14)15(19)11-3-7-13(18)8-4-11/h3-10H,1-2H3,(H,20,21)",CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,42017-89-0,DTXSID8041030,RH0224,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Fenugreek,"(2R,3R,4S,5S,6R)-2-[(2R)-4-[(1R,2S,4S,6R,7S,8R,9S,12S,13S,15R,16R,18S)-6,15-dihydroxy-7,9,13-trimethyl-16-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxymethyl]oxan-2-yl]oxy-5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosan-6-yl]-2-methylbutoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","InChI=1S/C44H74O19/c1-18(15-57-40-37(54)34(51)32(49)28(14-45)61-40)7-10-44(56)19(2)30-27(63-44)12-23-21-6-5-20-11-26(24(46)13-43(20,4)22(21)8-9-42(23,30)3)60-41-38(55)35(52)33(50)29(62-41)17-59-39-36(53)31(48)25(47)16-58-39/h18-41,45-56H,5-17H2,1-4H3/t18-,19+,20+,21-,22+,23+,24-,25-,26-,27+,28-,29-,30+,31+,32-,33-,34+,35+,36-,37-,38-,39+,40-,41-,42+,43+,44-/m1/s1",C[C@H]1[C@H]2[C@H](C[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)O)O)O)O)C)C)O[C@@]1(CC[C@@H](C)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O,68990-15-8,DTXSID30894575,,CMS-16318,,FALSE,TRUE,FALSE,,,Neural Tube Defects,no,no,no,no,no,no,Jan/22
Fialuridine,"1-[(2R,3S,4R,5R)-3-fluoro-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-iodopyrimidine-2,4-dione","InChI=1S/C9H10FIN2O5/c10-5-6(15)4(2-14)18-8(5)13-1-3(11)7(16)12-9(13)17/h1,4-6,8,14-15H,2H2,(H,12,16,17)",O=C1NC(=O)N(C2OC(CO)C(O)C2F)C=C1I,69123-98-4,NA,,CMS-58483,,FALSE,TRUE,FALSE,Steatosis / Cholestasis (neg),,,YES,YES,no,no,no,no,Jun/22
"Flucloxacillin, Floxacillin","(2S,5R,6R)-6-[[3-(2-chloro-6-fluorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid","InChI=1S/C19H17ClFN3O5S/c1-7-10(12(23-29-7)11-8(20)5-4-6-9(11)21)15(25)22-13-16(26)24-14(18(27)28)19(2,3)30-17(13)24/h4-6,13-14,17H,1-3H3,(H,22,25)(H,27,28)/t13-,14+,17-/m1/s1",CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,5250-39-5,DTXSID8023056,,CMS-2871,,FALSE,TRUE,FALSE,Cholestasis,,,YES,no,no,no,no,no,Jan/22
Fluconazole,"2-(2,4-difluorophenyl)-1,3-bis(1,2,4-triazol-1-yl)propan-2-ol","InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,86386-73-4,DTXSID3020627,,CMS-642,,FALSE,TRUE,FALSE,,,Neural Tube Defects,no,no,no,no,no,YES,Jun/22
Fludrocortisone,"(8S,9R,10S,11S,13S,14S,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one","InChI=1S/C21H29FO5/c1-18-7-5-13(24)9-12(18)3-4-15-14-6-8-20(27,17(26)11-23)19(14,2)10-16(25)21(15,18)22/h9,14-16,23,25,27H,3-8,10-11H2,1-2H3/t14-,15-,16-,18-,19-,20-,21-/m0/s1",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O)F,127-31-1,DTXSID7023061,RH0124,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
Fluoride ion,fluoride,InChI=1S/FH/h1H/p-1,[F-],16984-48-8,DTXSID0065567,,CMS-32461,,FALSE,TRUE,FALSE,,,Cognitive Function Defects,no,no,no,no,no,no,Jan/22
Fluoxetine,N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine,"InChI=1S/C17H18F3NO/c1-21-12-11-16(13-5-3-2-4-6-13)22-15-9-7-14(8-10-15)17(18,19)20/h2-10,16,21H,11-12H2,1H3",CNCCC(c1ccccc1)Oc2ccc(cc2)C(F)(F)F,54910-89-3,DTXSID7023067,,,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
Flusilazole,"bis(4-fluorophenyl)-methyl-(1,2,4-triazol-1-ylmethyl)silane","InChI=1S/C16H15F2N3Si/c1-22(12-21-11-19-10-20-21,15-6-2-13(17)3-7-15)16-8-4-14(18)5-9-16/h2-11H,12H2,1H3",C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,85509-19-9,DTXSID3024235,,CMS-3715,,FALSE,TRUE,FALSE,,,Neural Tube Defects,no,no,no,no,no,no,Jun/22
fluticasone furoate,"[(6S,8S,9R,10S,11S,13S,14S,16R,17R)-6,9-difluoro-17-(fluoromethylsulfanylcarbonyl)-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] furan-2-carboxylate","InChI=1S/C27H29F3O6S/c1-14-9-16-17-11-19(29)18-10-15(31)6-7-24(18,2)26(17,30)21(32)12-25(16,3)27(14,23(34)37-13-28)36-22(33)20-5-4-8-35-20/h4-8,10,14,16-17,19,21,32H,9,11-13H2,1-3H3/t14-,16+,17+,19+,21+,24+,25+,26+,27+/m1/s1",C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF,397864-44-7,DTXSID401024827,RH0060,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
